[9-2-2019 21:57:15] ebbesendk reached 31 CPS, VL=1
[9-2-2019 21:57:26] ebbesendk reached 25 CPS, VL=1
[9-2-2019 21:57:46] ebbesendk reached 18 CPS, VL=1
[9-2-2019 22:03:55] ebbesendk reached 18 CPS, VL=1
[9-2-2019 22:09:13] ebbesendk reached 74 CPS, VL=1
[9-2-2019 22:09:38] ebbesendk reached 35 CPS, VL=1
[9-2-2019 22:10:12] ebbesendk reached 18 CPS, VL=1
[9-2-2019 22:10:55] ebbesendk reached 24 CPS, VL=1
[9-2-2019 22:14:10] Zhephire reached 18 CPS, VL=1
[9-2-2019 22:15:28] Zhephire reached 20 CPS, VL=1
[9-2-2019 22:19:37] Zhephire reached 19 CPS, VL=1
[9-2-2019 22:19:48] Zhephire reached 21 CPS, VL=1
[9-2-2019 22:20:03] Zhephire reached 27 CPS, VL=1
[9-2-2019 22:21:37] JulieF reached 24 CPS, VL=1
[9-2-2019 22:22:23] ItzLaerke reached 18 CPS, VL=1
[9-2-2019 22:24:44] Zhephire reached 21 CPS, VL=1
[9-2-2019 22:24:44] zZ_basse_Zz reached 53 CPS, VL=1
[9-2-2019 22:24:51] zZ_basse_Zz reached 38 CPS, VL=2
[9-2-2019 22:25:19] JulieF reached 18 CPS, VL=1
[9-2-2019 22:26:09] JulieF reached 22 CPS, VL=1
[9-2-2019 22:26:28] Zhephire reached 22 CPS, VL=1
[9-2-2019 22:26:40] Zhephire reached 19 CPS, VL=1
[9-2-2019 22:27:16] zZ_basse_Zz reached 25 CPS, VL=1
[9-2-2019 22:29:31] zZ_basse_Zz reached 18 CPS, VL=1
[9-2-2019 22:32:48] SionDerZocker reached 19 CPS, VL=1
[9-2-2019 22:35:12] Itz_lasse_PvP_DK reached 61 CPS, VL=1
[9-2-2019 22:35:50] ItzLaerke reached 29 CPS, VL=1
[9-2-2019 22:37:31] Itz_lasse_PvP_DK reached 26 CPS, VL=1
[9-2-2019 22:38:07] susmus345 reached 35 CPS, VL=1
[9-2-2019 22:39:09] swagkonrad reached 20 CPS, VL=1
[9-2-2019 22:39:09] Itz_lasse_PvP_DK reached 30 CPS, VL=1
[9-2-2019 22:39:45] thor0802 reached 27 CPS, VL=1
[9-2-2019 22:40:23] zZ_basse_Zz reached 84 CPS, VL=1
[9-2-2019 22:43:10] zZ_basse_Zz reached 31 CPS, VL=1
[9-2-2019 22:43:36] zZ_basse_Zz reached 19 CPS, VL=1
[9-2-2019 22:44:50] Play7o0 reached 40 CPS, VL=1
[9-2-2019 22:44:50] Bvisti reached 30 CPS, VL=1
[9-2-2019 22:45:24] zZ_basse_Zz reached 29 CPS, VL=1
[9-2-2019 23:00:40] swagkonrad reached 30 CPS, VL=1
[9-2-2019 23:05:49] swagkonrad reached 18 CPS, VL=1
